id,Название (укр),Название (рус),Описание (укр),Описание (рус),primary_image,category_id,subcategory_id,product_id,validated,year,availability,images,tags,price,weight,length,width,height,model,seo,created_at,updated_at,status,sku,quantity,minimum,subtract,stock_status_id,shipping,points,weight_class_id,length_class_id,sort_order,viewed,date_available,date_added,date_modified,created_from_gallery
1117,"Супер АТАКА Актив, шипуча таблетка",,"Супер АТАКА шипуча таблетка Супер АТАКА шипуча таблетка - інсектицидний засіб, який представлений у вигляді таблеток, що швидко розчиняються у воді, і призначений для захисту різноманітних сільськогосподарських культур від шкідливих комах на садово-городніх ділянках. Переваги Препарат демонструє швидку активність, проявляючи ефект вже через 20 хвилин після застосування. Використання цього засобу не вимагає попереднього створення маткового розчину. Під час готування робочого розчину з шипучих таблеток не потрібне додаткове перемішування. Утилізація препарату не становить труднощів, оскільки він не залишає залишків на упаковці і може бути викинутий разом з побутовими відходами. Інсектицид ефективний проти великого діапазону важковиводимих комах-шкідників. Засіб зберігає свою дієвість навіть при високих температурах.",,p402170.jpg,400,402,p4021117,0,2025,1,,,9,,,,,,super-ataka-aktiv-shipucha-tabletka,,,,,,,,,,,,,,,,,,
1118,"Супер АТАКА Актив, шипуча таблетка 10 шт.",,"Супер АТАКА шипуча таблетка 10 шт Супер АТАКА шипуча таблетка - інсектицид представлений у вигляді шипучих таблеток, що швидко розчиняються, і призначений для захисту різноманітних сільськогосподарських культур від колорадського жука та інших шкідливих комах на садово-городніх ділянках. Переваги Препарат демонструє швидку активність, проявляючи ефект вже через 20 хвилин після застосування. Використання цього засобу не вимагає попереднього створення маткового розчину. Під час готування робочого розчину з шипучих таблеток не потрібне додаткове перемішування. Утилізація препарату не становить труднощів, оскільки він не залишає залишків на упаковці і може бути викинутий разом з побутовими відходами. Інсектицид ефективний проти великого діапазону важковиводимих комах-шкідників. Засіб зберігає свою дієвість навіть при високих температурах.",,p402171.jpg,400,402,p4021118,0,2025,1,,,79.5,,,,,,super-ataka-aktiv-shipucha-tabletka-10-sht,,,,,,,,,,,,,,,,,,
1119,Супер АТАКА Гранула 5 г,,"Супер АТАКА Гранула 5 г Препаративна форма: Водорозчинні гранули. Строк останної обробки: 20 діб до збору врожаю. Максимальна кратність обробок - 2. Переваги препарату у вигляді гранул: Зручність використання: Гранули легко розчиняються у воді, що робить їх простими у використанні та дозволяє однорідно розподіляти розчин на рослинах. Ефективність: Препарат має підвищену ефективність за рахунок гранульованої форми. Стійкість до впливу зовнішніх факторів: Гранули мають захисне покриття, яке забезпечує стійкість до вологи та інших негативних умов, зберігаючи ефективність препарату. Швидкість дії: Додаткові компоненти у складі швидше всмоктуються рослиною, що призводить до швидшої реакції на зараження колорадським жуком. Дозування: Легко визначити необхідну кількість препарату для конкретного обсягу оброблюваної площі, що дозволяє економно використовувати препарат. Заходи безпеки: під час роботи з препаратом використовувати засоби індивідуального захисту, не їсти, не пити, не курити. Слід уникати вдихання аерозолю, попадання на шкіру і в очі. Після роботи з препаратом вимити з милом руки і обличчя. Зберігати в закритій заводській упаковці в недоступному для дітей місці, окремо від харчових продуктів і медикаментів при температурі від -10°до + 35°С. Уникати потрапляння препарату в корм для тварин, не допускати випасання худоби на оброблених територіях. Не ковтати. Клас небезпеки - ІІ клас. Перша допомога: При попаданні препарату на шкіру або в очі промити їх чистою водою. При попаданні в шлунок - очистити шлунок, вжити активоване вугілля, звернутися до лікаря.",,p402172.jpg,400,402,p4021119,0,2025,1,,,18.3,,,,,,super-ataka-granula-5-g,,,,,,,,,,,,,,,,,,
1120,Супер Бізон 1 л,,"Опис Супер Бізон 1л Фосфорганічний Супер Бізон є контактно-кишковим інсекто-акарицидом системної дії. Препарат показує високу ефективність проти широкого спектра шкідників. Відмінно показав себе як інсектицид для ячменю і засіб для боротьби з личинками хруща. Інсектицид діє швидко, а також має довгу захисну властивість. Препарат Супер Бізон: переваги та особливості Даний інсектицид має швидку дію та пролонгований захист від більш ніж 30 видів шкідників-фітофагів. Препарат сумісний із більшістю інших інсектицидів, фунгіцидів, мінеральних добрив (окрім сірковмісних і лужних). Інсектицид Супер Бізон характеризується перевагами: високоефективний препарат проти великої кількості шкідників; стійкий до високих температур і зниженої вологості повітря, що розширює інтервал його використання; надає швидку дію і пролонгований захист; не фітотоксичний для культур; ефективний проти гризучих і сисних комах і кліщів. Якщо вам потрібно купити інсектицид для пшениці або отруту проти попелиці, рекомендуємо звернути увагу на цей варіант. Як показують відгуки, Супер Бізон справляється блискавично з багатьма шкідниками. Навіть якщо врожаю загрожує павутинний кліщ, препарати проти якого не завжди спрацьовують на відмінно через його здатність швидко розмножуватися.",,p402173.jpg,400,402,p4021120,0,2025,1,,,463.6,,,,,,super-bizon-1-l,,,,,,,,,,,,,,,,,,
1121,Твікс 100 мл,,"Твікс 100 мл від шкідників Препарат Твікс - це інсектицид контактно-системної і кишкової дії, розроблений для знищення комах-шкідників плодово-ягідних, зернових і овочевих культур. Засіб справляється з нейтралізацією шкідливих об'єктів на винограді, буряках, пшениці, яблунях, грушах, сливах, персиках та інших рослинах. Інсектицид Твікс - ціна, відгуки, переваги збереження ефективності препарату за високих температур; виділення специфічного запаху, який відлякує корисних комах від зони обробки інсектицидом; Твікс інсектицид, відгуки про ефективність препарату проти широкого спектра шкідників - позитивні; отримання першого ефекту вже через кілька годин після обприскування, повна загибель шкідників настає через дві доби; ефективна дія проти тридцяти різновидів шкідливих комах; можливість комбінованого використання з іншими інсектицидами. Акарицидний ефект дозволяє використовувати Твікс від шкідників для боротьби проти кліщів зі стійкістю по відношенню до фосфорорганічних інсектицидів.",,p402174.jpg,400,402,p4021121,0,2025,1,,,112.75,,,,,,tviks-100-ml,,,,,,,,,,,,,,,,,,
1122,Твікс 500 мл,,"Твікс 500 мл від шкідників Препарат Твікс - це інсектицид контактно-системної і кишкової дії, розроблений для знищення комах-шкідників плодово-ягідних, зернових і овочевих культур. Засіб справляється з нейтралізацією шкідливих об'єктів на винограді, буряках, пшениці, яблунях, грушах, сливах, персиках та інших рослинах. Інсектицид Твікс - ціна, відгуки, переваги збереження ефективності препарату за високих температур; виділення специфічного запаху, який відлякує корисних комах від зони обробки інсектицидом; Твікс інсектицид, відгуки про ефективність препарату проти широкого спектра шкідників - позитивні; отримання першого ефекту вже через кілька годин після обприскування, повна загибель шкідників настає через дві доби; ефективна дія проти тридцяти різновидів шкідливих комах; можливість комбінованого використання з іншими інсектицидами. Акарицидний ефект дозволяє використовувати Твікс від шкідників для боротьби проти кліщів зі стійкістю по відношенню до фосфорорганічних інсектицидів.",,p402175.jpg,400,402,p4021122,0,2025,1,,,451,,,,,,tviks-500-ml,,,,,,,,,,,,,,,,,,
1123,Твікс грунтовий 100 мл,,"Твікс грунтовий 100 мл від хруща Препарат Твікс - це інсектицид контактно-системної і кишкової дії, розроблений для знищення комах-шкідників плодово-ягідних, зернових і овочевих культур. Засіб справляється з нейтралізацією шкідливих об'єктів на винограді, буряках, пшениці, яблунях, грушах, сливах, персиках та інших рослинах. Твікс грунтовий ціна, відгуки, переваги збереження ефективності препарату за високих температур; виділення специфічного запаху, який відлякує корисних комах від зони обробки інсектицидом; Твікс інсектицид, відгуки про ефективність препарату проти широкого спектра шкідників - позитивні; отримання першого ефекту вже через кілька годин після обприскування, повна загибель шкідників настає через дві доби; ефективна дія проти тридцяти різновидів шкідливих комах; можливість комбінованого використання з іншими інсектицидами. Акарицидний ефект дозволяє використовувати Твікс від шкідників для боротьби проти кліщів зі стійкістю по відношенню до фосфорорганічних інсектицидів.",,p402176.jpg,400,402,p4021123,0,2025,1,,,112.75,,,,,,tviks-gruntovii-100-ml,,,,,,,,,,,,,,,,,,
1124,Темпо 3 г,,"Купити Темпо 3г інсектицид Препарат Темпо - це ефективний інсектицид, який використовується для знищення білокрилки, трипсів, щитівки та попелиці. Засіб гарантує повний контроль над сисними шкідниками і 100% результат при обробці квітів, овочів, фруктів. Його можна застосовувати як на відкритому городі, так і в теплиці. Новинка інсектицид Темпо 3 г представлена в інтернет-магазині ""Агро Хім"", тому ви можете на практиці оцінити ефективність цього засобу. Інсектицид Темпо ціна, відгуки, переваги Чому варто купити інсектицид Темпо 3 г: швидкий результат після першого ж застосування Темпо від шкідників; унікальний контактно-шлунковий механізм впливу - шкідники перестають поїдати сільськогосподарські культури; системна і трансламінарна активність, завдяки чому Темпо від попелиці контролює навіть прихованих шкідників і тих, що не потрапили під обробку; тривалий захисний ефект; зручна форма препарату (яд Темпо продається у вигляді диспергованих гранул); доступна ціна. Як свідчать відгуки, Темпо - інсектицид нового покоління, який запобігає розмноженню шкідників і має антифідинговий ефект. Уже через 15-20 хвилин речовина потрапляє в організм комахи, а наступного дня призводить до летального результату без будь-яких нейротоксичних симптомів.",,p402177.jpg,400,402,p4021124,0,2025,1,,greenhouse,40.59,,,,,,tempo-3-g,,,,,,,,,,,,,,,,,,
1125,Темпо 60 г,,"Купити Темпо 60г інсектицид Препарат Темпо - це ефективний інсектицид, який використовується для знищення білокрилки, трипсів, щитівки та попелиці. Засіб гарантує повний контроль над сисними шкідниками і 100% результат при обробці квітів, овочів, фруктів. Його можна застосовувати як на відкритому городі, так і в теплиці. Новинка інсектицид Темпо 60 г представлена в інтернет-магазині ""Агро Хім"", тому ви можете на практиці оцінити ефективність цього засобу. Інсектицид Темпо ціна, відгуки, переваги Чому варто купити інсектицид Темпо 60 г: швидкий результат після першого ж застосування Темпо від шкідників; унікальний контактно-шлунковий механізм впливу - шкідники перестають поїдати сільськогосподарські культури; системна і трансламінарна активність, завдяки чому Темпо від попелиці контролює навіть прихованих шкідників і тих, що не потрапили під обробку; тривалий захисний ефект; зручна форма препарату (яд Темпо продається у вигляді диспергованих гранул); доступна ціна. Як свідчать відгуки, Темпо - інсектицид нового покоління, який запобігає розмноженню шкідників і має антифідинговий ефект. Уже через 15-20 хвилин речовина потрапляє в організм комахи, а наступного дня призводить до летального результату без будь-яких нейротоксичних симптомів.",,p402178.jpg,400,402,p4021125,0,2025,1,,greenhouse,631.4,,,,,,tempo-60-g,,,,,,,,,,,,,,,,,,
1126,Теппекі 140 г,,"Теппекі 140г від білокрилки Теппеки - інсектицид, має згубний вплив на сисних шкідників сільськогосподарських культур. За рахунок, діючого компонента - флонікамід, зупиняє харчування комах після 30 хвилин. За допомогою цього засобу легко контролювати понад 40 видів попелиці, також має побічний вплив на низку інших шкідників. Препарат Теппекі від білокрилки проявляє хорошу ефективність. Застосовують засіб і в теплицях, де відбувається запилення бджолами. При цьому не відзначено негативного впливу на комах-запилювачів. Теппекі від трипса використовується також широко завдяки своїй результативності. Препарат у вигляді гранул, які легко розчиняються у воді. Склад якого базується на флонікаміді, є інгібітором живлення комах-шкідників. (наприклад, у скрученому листі). Теппекі відгуки та переваги контроль за великою кількістю видів попелиці; Теппеки для капусти, яблуні та інших культур, має довгий період захисту.. швидка дія на шкідників; тривала захисна дія - до 3 тижнів після обробки; teppeki від білокрилки діє навіть на тих імаго і личинок попелиці, які знаходяться у важкодоступних місцях стійкість до змивання опадами (дощ через 3 години після обприскування не знизить ефективність препарату); Теппеки, відгуки про ефективність засобу від білокрилки - позитивні; безпека для бджіл і джмелів.",,p402179.jpg,400,402,p4021126,0,2025,1,,greenhouse,1524.62,,,,,,teppeki-140-g,,,,,,,,,,,,,,,,,,
1127,"Теппекі 2,8 г",,"Теппекі 2,8 г від білокрилки Теппеки - інсектицид, має згубний вплив на сисних шкідників сільськогосподарських культур. За рахунок, діючого компонента - флонікамід, зупиняє харчування комах після 30 хвилин. За допомогою цього засобу легко контролювати понад 40 видів попелиці, також має побічний вплив на низку інших шкідників. Препарат Теппекі від білокрилки проявляє хорошу ефективність. Застосовують засіб і в теплицях, де відбувається запилення бджолами. При цьому не відзначено негативного впливу на комах-запилювачів. Теппекі від трипса використовується також широко завдяки своїй результативності. Препарат у вигляді гранул, які легко розчиняються у воді. Склад якого базується на флонікаміді, є інгібітором живлення комах-шкідників. (наприклад, у скрученому листі). Теппекі відгуки та переваги контроль за великою кількістю видів попелиці; Теппеки для капусти, яблуні та інших культур, має довгий період захисту.. швидка дія на шкідників; тривала захисна дія - до 3 тижнів після обробки; teppeki від білокрилки діє навіть на тих імаго і личинок попелиці, які знаходяться у важкодоступних місцях стійкість до змивання опадами (дощ через 3 години після обприскування не знизить ефективність препарату); Теппеки, відгуки про ефективність засобу від білокрилки - позитивні; безпека для бджіл і джмелів.",,p402180.jpg,400,402,p4021127,0,2025,1,,greenhouse,48.67,,,,,,teppeki-28-g,,,,,,,,,,,,,,,,,,
1128,Туріл 4 г,,"Опис Туріл Туріл - інсектицид нового покоління, що володіє трансламінарними властивостями. Препарат забезпечує знищення лускокрилих комах, які шкодять насадженням плодово-ягідних, овочевих і баштанних сільськогосподарських культур. Турил захищає врожай яблук, винограду, персика, черешні, вишні, капусти, помідорів та інших рослин. Переваги, за якими варто купити інсектицид Туріл 4 г. Застосування Туріла від шкідників для капусти та інших плодово-ягідних, овочевих культур вигідне з кількох причин: широкий спектр знищуваних шкідників, зокрема плодожерки, листовійки, молі, попелиці, совки; тривалий захисний ефект після обробки; відсутність у комах опірності до діючого компонента; збереження ефективності при випаданні опадів, сонячній погоді з високою температурою; сумісність із різними біологічними препаратами для обробки овочів і фруктів (вивчається додатково). Робочий розчин інсектициду від дротяників та інших лускокрилих шкідників простий у приготуванні і починає діяти відразу після нанесення. Ціна Туріла в інтернет-магазині АгроХім вигідна, оскільки продукція надходить до нас безпосередньо від виробника, минаючи посередників. Якщо вам потрібні стимулятори росту для кращих врожаїв, зверніть увагу на Авангард Стимул , що відпускається за доступною вартістю. У нас діє програма лояльності для постійних замовників. Товари оперативно доставляються по Україні завдяки співпраці зі службою доставки ""Нова Пошта"". Оплату можна внести під час отримання посилки готівкою або з банківської картки",,p402181.jpg,400,402,p4021128,0,2025,1,,,12.29,,,,,,turil-4-g,,,,,,,,,,,,,,,,,,
1129,Турбо Престо Актив 500 мл,,"Турбо Престо 500 мл Інсектицид, що характеризується системним впливом на шкодочинних комах, має у своєму складі два діючі пестицидні елементи - клотіанідин і лямбда-цигалотрин. Препарат поширює свій згубний вплив на сисні та гризучі родини комах, крім того знищуючи шкідників, що ховаються, і кліщів. Використовується практично на всіх видах культурних насаджень, повністю захищаючи всю ділянку. Інсектицид Турбо Престо Дізнатися поточну вартість пестициду ви можете на онлайн-сторінці товару, а також у спеціальному прайсі, розміщеному на нашому сайті. Переваги Два компоненти блискавично проникають у рослини і поширюються аж до кореневої системи, що застерігає змивання опадами, а також забезпечує захист молодих пагонів, що відростають. Інсектицидні компоненти впливають на шкідника кількома шляхами одночасно: вражають кутикулу та нервову систему, що гарантує 100 % загибель і неможливість резистентності. Престо вирізняється тривалим періодом захисту вашої ділянки: гарантія від виробника - не менше 21 дня.",,p402182.jpg,400,402,p4021129,0,2025,1,,,1082.4,,,,,,turbo-presto-aktiv-500-ml,,,,,,,,,,,,,,,,,,
1130,Фітоверм М 2 мл,,"Опис Фітоверм М 2 л Фітоверм М - інсектицид призначений для ефективного усунення шкідників, таких як кліщі, трипси, попелиці та гусениці, що атакують культури, включаючи огірки, томати, перці, баклажани, а також плодові дерева як яблуні та груші, ягідники - смородину, малину, ожину, і різноманітні кімнатні та декоративні рослини. Переваги Підходить для використання на будь-яких типах рослин; Бореться з двадцятьма видами шкідників; Залишається ефективним у умовах високої температури; Безпечний для людей та тварин; Легкий у використанні.",,p402183.jpg,400,402,p4021130,0,2025,1,,,6.18,,,,,,fitoverm-m-2-ml,,,,,,,,,,,,,,,,,,
1131,Фас 4 мл,,"Опис Фас 4 мл Фас - це контактно-кишковий інсектицид, який цілеспрямовано знищує комах-шкідників сільськогосподарських культур. Висока практична ефективність засобу доведена для плодово-ягідних, овочевих і зернових рослин, зокрема яблунь, буряків, гороху, пшениці, картоплі, капусти, ріпаку. Переваги, через які варто купити Фас Переваги: знищує широкий спектр комах-шкідників - клопів, трипсів, мошок, колорадських жуків, попелиць, довгоносиків тощо; екологічно безпечний для оброблюваних рослин і не накопичується в них; Фас, відгуки з приводу тривалості дії - схвальні сумісний з різними пестицидами для бакового використання (крім лужних засобів); має невеликі норми витрати. Препарат для боротьби з довгоносиком та іншими шкідниками забезпечує необхідний фермерам результат лише при двох обробках за сезон. Він не чинить шкідливого впливу на людину і корисних комах, які виконують запилення рослин або ведуть боротьбу зі шкідниками. Купити інсектицид Фас від перевіреного виробника безпосередньо ви можете в інтернет-магазині АгроХім. Інсектицид Фас, ціна відповідає якості. Якщо клоп-щитник, блішки, плодожерки та інші шкідники заважають отриманню хорошого і якісного врожаю, то цей інсектицид стане рятівною соломинкою для вас. При покупках у нас ви можете скористатися системою знижок, що діє для постійних клієнтів. Відправлення швидко доставляються по Україні завдяки співпраці зі службою доставки ""Нова Пошта"". У наявності виключно оригінальна продукція.",,p402184.jpg,400,402,p4021131,0,2025,1,,,5.2,,,,,,fas-4-ml,,,,,,,,,,,,,,,,,,
1132,Чистий Сад 10 г (шипуча таблетка),,"Чистий Сад 10 г (шипуча таблетка) Чистий Сад шипуча таблетка - це новий інсектицид, у вигляді шипучої таблетки призначений для оберігання яблунь, овочевих культур та винограду від всіх видів шкідників із ряду лускокрилих. Він швидко (протягом 2 годин) вбирається у рослинні тканини, формуючи мікрорезервуари, але не розповсюджується системно. Ефективність цього препарату залишається високою незалежно від змін температури чи опадів завдяки його швидкому проникненню в рослини. Переваги Швидке проникнення в тканини рослин, що забезпечується протягом 2 годин після застосування. Накопичення у вигляді мікрорезервуарів всередині рослин, що забезпечує велику кількість активної речовини. Відсутність системної дії, що мінімізує ризик негативного впливу на рослину. Висока ефективність захисту незалежно від високих температур та інших зовнішніх умов.",,p402185.jpg,400,402,p4021132,0,2025,1,,,9.27,,,,,,chistii-sad-10-g-shipucha-tabletka,,,,,,,,,,,,,,,,,,
1133,Чистий сад 4 г + Сварог 5 мл,,"Опис Чистий сад 4 г + Сварог 5 мл Чистий сад + Сварог - інсекто-фунгіцидний засіб, фунгіцид Сварог застосовується для профілактики та лікування садових культур від захворювань. Інсектицид призначений для захисту яблунь, овочів та винограду від шкідників із групи лускокрилих, засіб ефективно вбирається тканинами рослин, проте не розповсюджується по всій системі. Переваги Забезпечує одночасний захист від шкідників та грибкових захворювань, зменшуючи потребу в застосуванні додаткових препаратів. Ефективний проти багатьох видів лускокрилих шкідників та грибкових хвороб, що зустрічаються в садових культурах. Активні речовини швидко проникають у тканини рослин, забезпечуючи негайний захист. Відсутність системної дії авермектину мінімізує ризик негативного впливу на рослину, при цьому забезпечуючи ефективний захист від шкідників. Форма випуску та рекомендації щодо дозування роблять засіб легким у використанні для широкого спектру культур.",,p402186.jpg,400,402,p4021133,0,2025,1,,,15.34,,,,,,chistii-sad-4-g-svarog-5-ml,,,,,,,,,,,,,,,,,,
1134,Чистий стовбур 1 л,,"Чистий стовбур 1л купити Чистий стовбур - контактний пестицид суцільної дії. Він є одночасно інсектицидом, акарицидом, фунгіцидом і підсилювачем імунітету рослин. Призначений для знищення зимуючих комах-шкідників і кліщів. Як фунгіцид ""Чистий стовбур"" ефективно бореться з широким спектром грибкових захворювань. Комплексна обробка дерев навесні цим засобом забезпечує відсутність шкідників і сприятливі умови для росту та плодоношення рослин. Підходить для плодово-ягідних, квітучих і хвойних дерев і чагарників. Препарат Чистий стовбур: переваги Обробка плодових дерев навесні розчином ""Чистий стовбур"" дає змогу швидко й ефективно вирішити відразу кілька завдань: позбутися всіх зимуючих листогризучих і листосисних шкідників, що зимують; знищити спори хвороботворних грибів; підвищити стійкість набряклих бруньок до заморозків; запобігти втраті вологи рослинами; скоротити час обробки саду. Препарат є органічним і не фітотоксичним. За необхідності обприскати всього кілька дерев достатньо буде купити Чистий стовбур 350 мл, а для середнього саду більше підійде фасування Чистий стовбур 1 л.",,p402187.jpg,400,402,p4021134,0,2025,1,,,128.25,,,,,,chistii-stovbur-1-l,,,,,,,,,,,,,,,,,,
1135,Чистий стовбур 350 мл,,"Чистий стовбур 350 мл купити Чистий стовбур - контактний пестицид суцільної дії. Він є одночасно інсектицидом, акарицидом, фунгіцидом і підсилювачем імунітету рослин. Призначений для знищення зимуючих комах-шкідників і кліщів. Як фунгіцид ""Чистий стовбур"" ефективно бореться з широким спектром грибкових захворювань. Комплексна обробка дерев навесні цим засобом забезпечує відсутність шкідників і сприятливі умови для росту та плодоношення рослин. Підходить для плодово-ягідних, квітучих і хвойних дерев і чагарників. Препарат Чистий стовбур переваги Обробка плодових дерев навесні розчином ""Чистий стовбур"" дає змогу швидко й ефективно вирішити відразу кілька завдань: позбутися всіх зимуючих листогризучих і листосисних шкідників, що зимують; знищити спори хвороботворних грибів; підвищити стійкість набряклих бруньок до заморозків; запобігти втраті вологи рослинами; скоротити час обробки саду. Препарат є органічним і не фітотоксичним. За необхідності обприскати всього кілька дерев достатньо буде купити Чистий стовбур 350 мл, а для середнього саду більше підійде фасування Чистий стовбур 1 л.",,p402188.jpg,400,402,p4021135,0,2025,1,,,53.78,,,,,,chistii-stovbur-350-ml,,,,,,,,,,,,,,,,,,
1136,Чистий стовбур Organic 300 мл,,"Чистий стовбур Organic 300 мл Чистий стовбур - контактний пестицид суцільної дії. Він є одночасно інсектицидом, акарицидом, фунгіцидом і підсилювачем імунітету рослин. Призначений для знищення зимуючих комах-шкідників і кліщів. Як фунгіцид ""Чистий стовбур"" ефективно бореться з широким спектром грибкових захворювань. Комплексна обробка дерев навесні цим засобом забезпечує відсутність шкідників і сприятливі умови для росту та плодоношення рослин. Підходить для плодово-ягідних, квітучих і хвойних дерев і чагарників. Склад : Рослинна олія (Сонячникова, ріпакова), вода, поверхнево-активна речовина (ПАР) та диспергатор-емульгатор. Препарат Чистий стовбур переваги Обробка плодових дерев навесні розчином ""Чистий стовбур"" дає змогу швидко й ефективно вирішити відразу кілька завдань: позбутися всіх зимуючих листогризучих і листосисних шкідників, що зимують; знищити спори хвороботворних грибів; підвищити стійкість набряклих бруньок до заморозків; запобігти втраті вологи рослинами; скоротити час обробки саду. Препарат є органічним і не фітотоксичним. За необхідності обприскати всього кілька дерев достатньо буде купити Чистий стовбур 350 мл, а для середнього саду більше підійде фасування Чистий стовбур 1 л.",,p402189.jpg,400,402,p4021136,0,2025,1,,,46.73,,,,,,chistii-stovbur-organic-300-ml,,,,,,,,,,,,,,,,,,
1137,Аншлаг 5 мл + інноваційний комплекс АгроУспіх 12 мл,,"Купити Аншлаг 5 мл Інсектицид Аншлаг застосовується для знищення комах-шкідників, які дошкуляють посівам плодово-ягідних і овочевих культур і заважають отриманню гарного врожаю. Засіб можна використовувати для боротьби проти колорадського жука, совок, трипсів, молі, попелиці, довгоносиків, квіткоїдів і деяких інших шкідливих об'єктів. Переваги покупки Аншлагу 3 мл Позитивні відгуки про інсектицид Аншлаг пов'язані з такими перевагами препарату: сумісність із широким спектром пестицидів, за винятком лужних препаратів; настання вираженого ефекту через кілька годин після обробки; збереження продуктивності засобу навіть у дощову погоду; відсутність у комах опірності до препарату; необхідність лише 1-2 обробок за сезон для отримання результату. Засіб від капустяної попелиці та інших шкідників не є токсичним для людини та довкілля. Він забезпечує захист картоплі, буряків, помідорів, огірків, плодово-ягідних культур на всіх стадіях їхнього росту.",,p402190.jpg,400,402,p4021137,0,2025,1,,,5.66,,,,,,anshlag-5-ml-innovatsiinii-kompleks-agrouspikh-12-ml,,,,,,,,,,,,,,,,,,
