id,Название (укр),Название (рус),Описание (укр),Описание (рус),image
225,Свійські,Савойская,,"Савойская.Разновидность кочанной капусты с сильнопузырчатыми листьями. Холодостойкое и морозоустойчивое растение. Хорошо хранится. Используют в свежем виде, для квашения, в домашней кулинарии. Блюда из савойской капусты отличаются нежным вкусом.",
226,романеско,Романеско,,"Романеско.Формирует привлекательную головку, состоящую из маленьких конусов нежно-салатового цвета, весом 1,5-1,7 кг. Для осеннего употребления выращивают посевом в грунт, для раннего - рассадой. После уборки центральной головки хорошо растут боковые.",
227,дайкон Міновасі,Дайкон Миноваси,,"Дайкон Миноваси.Среднеспелый сорт (период от полных всходов до начала технической спелости 65-70 дней).Корнеплоды длинные – 45-50 цилиндрические с белой кожурой и белой мякотью. Масса корнеплода 1,2-1,5 кг.",
228,дайкон Саша,Дайкон Саша,,"Дайкон Саша.Дайкон (сладкая редька) создан в Японии, где и занимает первое место по посевной площад  среди овощей. Раннеспелый сорт, вегетационный период - 35-45 дней. Используется в свежем
виде.Дайкон (сладкая редька) создан в Японии, где и занимает первое место по посевной площади",
229,белий ікло,Белий клык,,"Белий клык.Позднеспелый, период от посева до уборки составляет от 34 до 50 дней. Корнеплод крупныйдлиной 18-20 см, весом до 200 г. Мякоть белая, сочная, слабоострого вкуса, не становится дряблой. Долго не теряет товарный вид.",
230,червоне серце,Красное сердце,,"Красное сердце. Один из самых оригинальных сортов дайкона. Выведен в Китае. Плоды зеленовато-белые снаружи и красные внутри. Мякоть сочная, отличного полуострого вкуса. Широко используется какжелчегонное средство",
231,Редька Чорна зимова,Редька Черная зимняя,,"Редька Черная зимняя Среднеспелый, от посева до уборки 75-100 дней. Корнеплод черный, округлый, длиной 9-11 см,массой 240-550 г, с гладкой поверхностью. Мякоть белая, плотная, сочная, остро -сладкого вкуса.",
232,Сквирська біла,Сквирская  белая,,"Сквирская  белая.Среднеспелый лежкий сорт. К уборке урожая - 90-94 дней. Корнеплод массой до 250 г, мало
погружен в почву. Мякоть белая, плотная, сочная, с умеренно острым вкусом.",
233,Червона зимова,Красная зимняя,,"Красная зимняя.Среднеспелый сорт.Период вегетации60-80 дней корнеплоды крупные 200-300 гр, Окрас     кожици красный,мякоть белая плотная,сочная.",
234,Лобо Лебідка,Лобо Лебедка,,"Лобо Лебедка.Сорт ранний, культивируемый в Китае,зелено,белого окраса кожици, масса плода 200-400гр. Мякоть плотная сочная вкусная.",
235,Одеська,Одесская,,"Одесская.Раннеспелый. Период от посева до уборки 35-45 дней. Корнеплод белый, округлый, длиной 8-см, массой 39-70 г. Поверхность гладкая, мякоть белая, сочная, сладкая, слабоострого вкуса.",
236,маргеланская,Маргеланская,,"Маргеланская.Сорт раннеспелый, предназначен для летних посевов (июль). Корнеплод с гладкой поверхностью,цилиндр короткий (9-16 см) темно-зеленого цвета с белым кончиком. Лежкость хорошая.",
237,Сударушка,Сударушка,,"Сударушка.Раннеспелый сорт, до технической спелости 37 дней. Предназначен для выращивания весной и осенью. Устойчив против стеблевания, долго не дрябнет. Корнеплод белый, округло-овальный,массой 56г, на ½ углублен в грунт. Мякоть нежная, сочная, плотная",
238,льодяна бурулька,Ледяная сосулька,,"Ледяная сосулька.Среднеспелый сорт, период от всходов до уборки 35-40 дней. Корнеплод белый,длинный,веретеновидный, массой 16-32 г, приподнят над поверхностью почвы. Мякоть белая, сочная,среднеострого вкуса",
239,Пролісок,Подснежник,,"Подснежник.Раннеспелый сорт. Вегетационный период от всходов до технической спелости 23-28днейКорнеплоды округлой формы, малиново-красной окраски, диаметром 2,5-3см, массой 15-25г,хороших товарных качеств.",
240,Сора,Сора,,"Сора. Герм.Раннеспелый сорт, устойчивый к высоким температурам и растрескиванию. От всходов до
технической спелости – 16-20 дней. Пригодна для весеннего, летнего и осеннего выращивания.Корнеплоды круглые, диаметром 3-4 см, карминно-красного цвета с белой, нежной мякотью.",
241,Сора,Сора ,,"Сора .Украина.Раннеспелый сорт,устойчивый к высоким температурам и растрескиванию. От всходов до технической спелости – 16-20 дней. Пригодна для весеннего, летнего и осеннего выращивания.Корнеплоды круглые, диаметром 3-4 см, карминно-красного цвета.",
242,французький сніданок,Французский завтрак,,"Французский завтрак Высокоурожайный, ранний сорт для всесезонного выращивания. Вегетационный период: в закрытом грунте - 20-23 дня, в открытом – 23-25 дней. Превосходное качество мякоти, не дрябнет.Высокая товарность. Корнеплод длиной 6-8см, ярко-красного цвета с белым основанием.",
243,Червоний з білим кінчиком,Красный с белым кончиком,,"Красный с белым кончиком. .Раннеспелый сорт, от посева до уборки около 25 дней. Окраска корнеплода красная с белым
кончиком, форма плоскоокруглая или округлая, длинна 3-4 см. Поверхность гладкая. Мякоть бело-розовая, сочная, плотная, почти без горечи.",
244,Червоний з білим кінчиком,Красный с белым кончиком,,"Красный с белым кончиком.Раннеспелый сорт, от посева до уборки около 25 дней. Окраска корнеплода красная с белым кончиком, форма плоскоокруглая или округлая, длинна 3-4 см. Поверхность гладкая. Мякоть бело-розовая, сочная, плотная, почти без горечи.",
245,ранній червоний,Ранний красный,,"Ранний красный.Раннеспелый, от полных всходов до первого сбора 24-28 дней. Корнеплод красный, округлый массой 8-14 г, погружен в почву на 2/3, вкусовые качества высокие.   При не продолжительном хранении корнеплоды не теряют товарность.",
246,18 днів,18 дней,,"18 дней.Самый известный и широко используемый из всех полудлинных редисов. Очень скороспелый,созревает за 18 дней. Красивые корнеплоды имеют неострую, сочную мякоть. Предназна- чен для выращивания в открытом грунте и под плёночными укрытиями.",
248,Рубін,Рубин,,"Рубин.Сорт раннеспелый, период от посева до уборки 29-31 день. Окраска корнеплода красно-
малиновая, форма округлая или эллиптическая, длиной около 4 см, поверхность гладкая. Мякоть белая или бело-розовая, плотная, сочная, сладкая.",
249,Насіння з Голландії,Семена из Голландии,,"Семена из Голландии.Редис высевают ранней весной, начиная с середины апреля, в несколько сроков через 10-12 дней,летний посев проводят в конце июля - начале августа для осеннего использования. Посев проводят в бороздки глубиной 2-2,5 см на расстоянии 10-12 см друг от друга. Холодостойкая культура",
250,суміш сортів,Смесь сортов,,"Смесь сортов. В наборе ,5сортов наипопулярнейших сортов редиса ,дающих возможность попробовать  каждый сорт в отдельности или смешать все сорта в одном блюде. Пикантность гарантирована.",
251,редис Злата,Редис Злата,,"Редис Злата.Раннеспелый сорт. Вегетационный период от всходов до технической спелости 23-28 дней.
Корнеплоды округлые, золотистой окраски, шероховатые, массой 22-24г, хороших вкусовых качеств. Мякоть белая, нежная, сочная, слабо острого вкуса. Сорт ценится за высокую урожайность",
252,Краковянка,Краковянка,,"Краковянка.Сорт раннеспелый, высокоурожайный, пригоден для выращивания в открытом и защищенном грунте. Вегетационный период от посева до сбора – 25-30 дней. Корнеплод красный, округлый с
белым кончиком, массой 5,5-6г. Мякоть белая, иногда слабо-розовая, сочная, сладкая.",
253,турнепс,Турнепс,,"Турнепс.Холодостойкая кормовая культура, ценная витамином С и углеводами. Дает высокий урожай, хорошо сохраняется в течение осенне-зимнего периода. За короткий период (40-45 дней) формирует урожай,
поэтому можно использовать как после жнивную культуру.",
254,ріпа пурпурна,Репа пурпурная,,"Репа пурпурная.Ранний (от всходов до уборки 55-65 дней) сорт для выращивания в открытом и защищенном грунте. Корнеплоды округлые, малиново-розовые с белым кончиком, массой 100-120 г, с белой,
плотной, сочной, нежной мякотью, пикантного вкуса и высоким содержанием минеральных
веществ.",
255,бруква,Брюква,,"Брюква.Период от всходов до технической спелости 90-110 дней. Корнеплоды овальные, массой 350-600г,на треть погружены в почву. Окраска кожицы корнеплодов в верхней части светло-зеленая, в нижней желтая. Мякоть кремово-желтая, нежная и сладкая на вкус.",
256,Айвенго,Айвенго,,"Айвенго.Сорт ранний. От всходов до технической спелости – 105-115 дней, до биологической – 125-135 дней. Растение среднерослое, компактное, полуштамбовое. На одном квадратном метре можно расположить 6-8 растений. Плоды конусовидные, 2-3 кам ерные, гладкие, массой 95-140 г",
257,Анастасія,Анастасия,,"Анастасия.Раннеспелый. Растение компактное. Плоды крупные, массой 180-200г, в биологической спелости - красные. Сорт очень урожайный, по 3-5 кг крупных плодов с куста. Устойчив к стрессам,неблагоприятным условиям, имеет долгосрочное плодоношения.",
258,Антей,Антей,,"Антей.Сорт среднеспелый. От массовых всходов до технической спелости 125-135 дней, до биологической 145-160 дней. Растение высокорослое, мощное, раскидистое. Плоды очень крупные, конусо-призмоподобные, светло-зеленые в технической спелости и красные в -  биологической, массой 200-300 г",
259,Аджика,Аджика,,"Аджика.Среднеранний сорт, сорт в большинстве случаев выращивают в открытом грунте. Растения этого сорта довольно высокие и мощные, благодаря этому не требуют подвязки к опорам. Плоды конические удлиненные в спелом виде достигают веса 90гр.",
260,богатир,Богатырь ,,"Богатырь .Среднеранний сорт для открытого грунта и пленочных теплиц. Растение мощное, раскидистое, высокое. Плоды очень крупные, массой 150-180 г, призмовидной формы, в биологической спелости красного цвета. Толщина стенки 5-5,5 мм. Вкусовые качества хорошие.",
261,баранячий ріг,Бараний рог,,"Бараний рог.Среднеспелый сорт. Вегетационный период от всходов до биологической спелости 135-150 дней. Куст штамбовый, высотой 40-50см. Плоды удлиненные, длиной 16-20см, диаметром 2,5-3см, массой 30-40г, среднеострого вкуса.",
262,Богдан,Богдан,,"Богдан.Раннеспелый. Растение компактное. Плоды крупные, массой 180-200г, в биологической спелости - желтые, отличного вкуса. Сорт очень урожайный, по 3-5 кг крупных плодов с куста. Устойчив к стрессам, неблагоприятным условиям, имеет долгосрочное плодоношения.",
263,Вікінг,Викинг,,"Викинг.Раннеспелый сорт для выращивания в открытом грунте и под пленочными укрытиями. Растение средней высоты. Плод  цилиндрический, гладкий, глянцевый, в технической спелости зеленый, в биологической - красный. Число гнезд 3-4. Масса плода 86-105 г",
264,каліфорнійське чудо,Калифорнийское чудо,,"Калифорнийское чудо. Среднеспелый, высокоурожайный сорт. Для выращивания в пленочных теплицах и открытом грунте. Растения высотой 60-75 см. Плоды мясистые, кубовидной формы с ребристой поверхностью, ярко-красного цвета.",
265,Ластівка,Ласточка,,"Ласточка.Раннеспелый. Техническая спелость наступает через 120-122 дня после всходов. Растение полураскидистое, штамбовое, среднерослое (45-50 см). Плоды пониклые, конусовидные, длиной 8-10 см, в технической спелости – светло-зеленые, в биологической – красные.",
266,Лумина,Лумина,,"Лумина.Сорт среднеранний. От массовых всходов до технической спелости плодов 118-120, до биологической – 140-143 дня. Растение высотой 40-50 см, компактное. Плоды конусовидные, бело-кремовые в технической спелости, красные в биологической, ароматные. Масса плода 95-140 г.",
267,Обрій,Обрий,,"Обрий.Раннеспелый сорт. Вегетационный период до биологической спелости 100-120 дней. Куст штамбовый, высотой 40-65см. Плоды округлой формы, ребристые, массой 100-150г, в биологической спелости красного цвета. Толщина стенки плода 6-10мм. Мякоть нежная.",
268,О так,Ода ,,"Ода .Раннеспелый сорт  открытого  и закрытого грунта,темно фиолетового цвета Толстостенный,сладкий,с длинным периодом плодонношения ,масса плода 160-190гр Красив и вкусен.",
269,ПАЛАНСЬКЕ Бабура,Паланская бабура,,"Паланская бабура.Новый раннеспелый сорт. Один из лучших высокоурожайных сортов сладкого перца. Растение раскидистое, штамбовое, среднеоблиственное, высотой до 50 см. Плоды крупные, толстостенные (6-8 мм), призматической формы, в технической спелости - ярко-желтые, в биологической - красные.",
270,Гриль стручок,Грыль стручок,,"Грыль стручок. Перец для гриля.Ранньостиглий сорт для вирощування у відкритому ґрунті, до технічної стиглості 105-108 днів. Кущ висотою 40-60 сантиметрів. Плід конусоподібний, вузький, масою 80-90 грам, у фазі б��ологічної стиглості - багряно-червоного кольору, з товщиною стінок 5-6 міліметрів. М'якоть соковита, солодка, без гіркоти, дуже духмяний,",
271,Перець для гриля Гриль -Стручок,Перец для гриля Гриль -Стручок,,"Перец для гриля Гриль -Стручок.Раннеспелый сорт для выращивания в открытом грунте, до технической спелости 105-108 дней. Куст высотой 40-60 сантиметров. Плод конусовидный, узкий, массой 80-90 грамм, в фазе биологической спелости - багрово-красного цвета, с толщиной стенок 5-6 миллиметров. Мякоть сочная, сладкая, без горечи, очень душистый,",
272,подарунок Молдови,Подарок Молдовы,,"Подарок Молдовы.Растение полураскидистое, низкорослое, высотой 35-45 см. Плоды пониклые, конуовидные, длиной 9-10 см, массой 50-80 г, толщина стенок 4-5 мм. Вкусовые качества хорошие. В биологической спелости темно-красного цвета. Устойчив к болезням. Универсального использования.",
273,Ратунда,Ратунда,,"Ратунда.Раннеспелый. Растение компактное, низкорослое высотой 25-30 см. Светолюбив, засухоустойчив. Плоды округлые, в биологической спелости темно-красные, длиной около 6 см, толстостенные (толщина стенок 7-10 мм), массой 102-167 г. Вкусовые качества отличные.",
274,Ожаровський,Ожаровский,,"Ожаровский.Один из наилучших польских среднеранних сортов. Пригоден для выращивания в теплицах.  Растения имеют буйный рост, требуют пасынкования и подвязывании. Завязывает плоды даже при недостаточном освещении и пониженной температуре. Плоды крупные по мере созревания меняют окраску с темнозеленого на темно красный.",
275,Український гіркий,Украинский горький,,"Украинский горький. Среднеспелый, плоды конусовидные, гладкие, красные, глянцевые. Мякоть тонкая, на вкус острая. Используют в домашней кулинарии, для изготовления настоек, масел. Теплолюбивая культура. Выращивают с использованием рассады.",
276,кімнатний,Комнатный,,"Комнатный.В горшечной культуре перец можно выращивать 2-3 года до истощения растения и получать свежие плоды круглый год. Посев семян для комнатной культуры можно проводить в любое время года, но лучше всего весной. В зимнее время растение следует размещать ближе к свету и беречь от холода.",
277,алмаз,Алмаз,,"Алмаз.Один из лучших среднеспелых сортов. Растение с компактным расположением плодов в нижней части. Плоды цилиндрические, темно-фиолетовые. Мякоть зеленоватая, плотная, без горечи, отличного вкуса. Выращивают с использованием рассады, которую подготавливают в течение 50-60 дней.",
278,баклажан 02,Баклажан 02,,"Баклажан 02.Выращивают с использованием рассады, которую подготавливают в течение 50-60 дней. Посев проводят в феврале-марте в ящики, затем сеянцы пикируют (4х4 см), а через три недели пересаживают в горшочки или в парник.",
279,Геліос,Гелиос,,"Гелиос.Среднеранний сорт. Техническая спелость плодов наступает через 100-116 дней после всходов. Растение компактное, высотой 40-58 см. Плоды округлой формы, фиолетовые, массой 150-200 г. Мякоть белая, плотная, без горечи. Урожайность высокая.",
280,Донецький Урожайний,Донецкий Урожайный,,"Донецкий Урожайный.Раннеспе-лый сорт, вегетационный период от массовых всходов до первого сбора 120 дней. Куст компактный,плоды темно фиолетовые ,удлиненные 280-350гр,сорт ,устой к жаре.Без горечи.",
281,чорний красень,Черный красавец,,"Черный красавец.Сорт среднеранний, в плодоношение вступает на 120-140 день. Высота растения 60-75
см. Плод цилиндрический, длиной 10-12 см, фиолетово-черный, массой 100-150 г. Мякоть без горечи беловато зеленого цвета.",
282,ультраранній,Ультраранний,,"Ультраранний.Сверхранний. Вегетационный период 80-100 дней. Универсальный. Устойчив против основных болезней.
Лежкий. Транспортабельный. Плод грушевидный, массой 120-140 г. Урожайность 25-30 т/га. Вкусовые
качества высокие.",
283,бегемот F1,Бегемот F1,,"Бегемот F1.Среднеспелый (100-110 дней от всходов до плодоношения) высокорослый (0,7-1,5 м в пленочных теплицах, до 2,5 м в остекленных теплицах) гибрид для пленочных и остекленных теплиц и открытого грунта.",
284,Цибуля,Лук,,"Лук. Белая   королева. Великолепный среднеспелый сорт лука итальянской селекции. Формирует красивые, крупные луковицы, весом 120-150 г, полуострого вкуса. Наружные и внутренние чешуйки белоснежные, луковицы плотные, выровненные, сочные. Прекрасные вкусовые качества.",
285,лук Стерлінг,Лук Стерлинг ,,"Лук Стерлинг . Италия. Среднеспелый сорт , масса 100-120гр, полу-острый, салатного типа, лежкий траспортабельный, предназначен для открытого грунта.",
286,Веселка,Веселка,,"Веселка.Раннеспелый полуострый сорт. Выращивается из семян в однолетней культуре. Луковица округлая или овально-округлая, массой 100 – 150 г. Внешние чешуйки фиолетово-красного цвета. Сорт относительно устойчив к пероноспорозу.",
287,Вольський,Вольский,,"Вольский. Польша..Позднеспелый, полуострый, универсального использования, пригоден для длительного хранения. От всходов до технической зрелости – 125-140 дней. Луковицы шаровидные, с тонкой шейкой, массой 90-160г. Сорт относительно устойчив к ложной мучнистой росе.",
288,Глобус,Глобус,,"Глобус.Острый универсальный среднеспелый сорт. Вегетационный период 92-94 дня. Внешние чешуи коричневого или светло-коричневого цвета. Внутри чешуи сочные, белые. Луковица округлая или удлиненно-округлая весом 75-90г. Может выращиваться из семян в однолетней культуре, а также из севка.",
289,Донецька золотиста,Донецкая золотистая,,"Донецкая золотистая..Среднеспелый сорт. Выращивают в однолетней культуре из семян. Малогнездный, луковица округло-плоская, плотная, массой 60-80 г, Сухие чешуи желтые и золотисто-желтые, сочные - белые. Урожайность 2,3-3,9 кг\кв.м. Лежкость хорошая.",
290,Каратальского,Каратальский,,"Каратальский.Раннеспелый, урожайный. Выращивают в однолетней культуре из семян. Луковица плотная, округлая. Сухие чешуи золотисто-желтые, сочные – белые. Масса луковицы 50-120 г. Вкус полуострый. Вызреваемость перед уборкой 97%. Лежкость 80 %.",
291,Луганський,Луганский,,"Луганский.Сорт позднеспелый, урожайный. Выращивают в однолетней культуре из семян. Вкус промежуточный между острым и полуострым. Луковица округлая, округло-плоская и овальная. Сухие чешуи желтые с коричневым оттенком, сочные – белые. Масса луковицы 71-146 г",
292,Любчик,Любчик,,"Любчик.Одни из лучших общепризнанных сортов в мире. Раннеспелый, от посева до созревания – 120 дней. Луковицы крупные, плотные, плоскоокруглые. Масса луковицы 50,0-94 г. Окраска сухих чешуй желто-коричневого цвета. Вкус пикантный.",
293,Марковський,Марковский,,"Марковский.Сорт среднеспелый, полуострый, урожайный, отлично хранится. Может выращиваться из семян в однолетней культуре, а также из севка. Лук следует выращивать на плодородных, хорошо обработанных, легких, имеющих нейтральную реакцию почвах,полуострый ,масса120-130гр  лежкий.",
294,ред барон,Ред барон,,"Ред барон.Несмотря на относительную раннеспелость, прекрасно сохраняется. Луковицы среднего размера, массой 50-120 г, плотные, привлекательного красного цвета, который остается на луковице и не «окрашивает» ни нож, ни компоненты салата. Обладает прекрасными вкусовыми качествами.",
295,Рубін,Рубин,,"Рубин.Деликатесный, скороспелый, урожайный сорт. До технической спелости - 72-85 дней. Луковица полуострая, округлая, одногнездная, массой 60-80 г. Сухие чешуи розово-фиолетовые, сочные, белые с розовым эпидермисом. Хорошо вызревает во всех зонах Украины.",
296,Стригуновский,Стригуновский,,"Стригуновский.Раннеспелый, урожайный. Выращивают в однолетней культуре из семян. Луковица плотная, округлая с небольшим сбегом вверх и вниз. Сухие чешуи желтые, сочные – белые. Масса луковицы 45-80 г. Вызреваемость перед уборкой 97%. Лежкость хорошая. Вкус острый.",
297,халцедон,Халцедон,,"Халцедон.Луковица крупная, круглая, золотистого цвета, имеет чудесный товарный вид. Урожайность 700 ц/га. Хранится 12 месяцев, вкусовые качества высокие.",
298,Чорнушка,Чернушка,,"Чернушка.Выращивание репчатого лука через севок. При этом способе репку получают на второй год, а в первый год выращивают севок — мелкий однолетний лук, высевают в апреле после оттаивания почвы на грядах шириной 1 м, в бороздки, сделанные на расстоянии 10-12 см. Норма высева 9-10 г на 1 м кв",
299,Ялтинський,Ялтинский,,"Ялтинский.Сорт позднеспелый, вегетационный период 138-150 дней, период хранения 120 дней. Луковицы крупные, фиолетовые, средней массой 154г. Вкус сладкий со слабоострым привкусом. Лук следует выращивать на плодородных, хорошо обработанных, легких, имеющих нейтральную реакцию почвах",
300,Лук на зелень Ельвіра,Лук на зелень Эльвира,,"Лук на зелень Эльвира. Очень ранняя первая весенняя зелень при посадке под зиму,нежные ,полуострие перья содержат кладезь витаминов. При посадке весной нуждается в усиленном поливе.",
301,Лук на зелень озимий,Лук на зелень озимый,,"Лук на зелень озимый. Больше всего оправдывают затраты подзимние посадки ,но возможна посадка весенняя.",
302,шніт,Шнит,,"Шнит.Ценится, как растение, дающее витаминную зелень круглый год. Его листья нежные, слабоострые и ароматные. Многолетнее растение, дающее хороший урожай на одном участке в течении 5 лет, быстро отрастает ранней весной и дает большую зеленую массу.",
303,порей,Порей,,"Порей.Двулетнее растение. В первый год у него образуется зеленый листья и утолщенный белый стебель (длиной 15-60 см и диаметром 5-7 см), который и является основной съедобной частью растения.",
304,батун,Батун,,"Батун.Многолетнее, зимостойкое растение, которую используют на зелень. На одном месте растет 5-7 лет. Листья нежные, острые на вкус. В период вегетации, по мере отрастания, можно срезать листья несколько раз. Светолюбивое растение, не выносит затенения.",
305,Амстердамська,Амстердамская,,"Амстердамская.Раннеспелая, пригодна для выращивания под пленкой и на пучковую продукцию. От массовых всходов до технической спелости – 70-90 дней. Корнеплод длиной 17-19 см, цилиндрический, оранжевого цвета с высоким содержанием каротина",
306,Артек,Артек,,"Артек.Раннеспелый. Период от посева до уборки 80-100 дней, а при выращивании на пучковый товар спелость наступает на 67-75 день. Поверхность корнеплода и мякоти оранжево-красная, форма утолщенно-цилиндрическая",
307,Оленка,Аленка,,"Аленка.Сорт раннеспелый. Пучковая спелость наступает на 47-49-й, техническая - на 85-100-й день после появления всходов. Урожайность 40-75 кг/м2. Корнеплод оранжевый, по форме срезано-конический, тупоконечный, длиной 10-12см.",
308,Болтекс,Болтекс,,"Болтекс. Усовершенствованный сорт типа Шантане среднепозднего срока созревания. Вегетационный период от всходов до сбора урожая - 120-125 дней. Корнеплоды конической формы, гладкие, насыщенного оранжевого цвета, длиной 10-15 см, весом 200-350 г.",
309,Віта Лонга,Вита Лонга,,"Вита Лонга. Германия.Среднепоздняя, вегетационный период 115-130 дней. Корнеплоды конической формы, гладкие, ровные, темно-оранжевые, обладают высокой товарностью, длина 20-30 см, масса до 350 г. Отличные вкусовые качества.",
310,вітамінна 6,Витаминная 6,,"Витаминная 6.Сорт среднеспелый. Период от посева до уборки 80-100 дней, а при выращивании на пучковый товар спелость наступает на 67-75 день. Корнеплод утолщено-цилиндрический, со слабым сбегом к основанию, длиной 15 см,  массой 72-132 г, оранжево-красный.",
311,каротель,Каротель,,"Каротель.Сорт среднеспелый. Вегетационный период 100-110 дней от всходов до технической спелости. Пригоден для ранневесеннего и подзимнего посева. Корнеплод интенсивно-оранжевый, мякоть сочная, вкусная. Используют для прямого потребления, переработки, хранения.",
312,Корал,Корал,,"Корал. Польша.Позднеспелая, предназначена для длительного хранения. Вегетационный период от посева до технической спелости – 140-150 дней. Корнеплоды темно-оранжевые, цилиндрической или слабо конической формы, длиной 18-20 см, массой 140-160 г, ровные",
313,Королева осені,Королева осени,,"Королева осени.Позднеспелый, высокоурожайный сорт. Вегетационный период 120-130 дней. Корнеплод цилиндрический, тупоконечный, оранжево-красный, диаметром 5 см и длиной 20-25см. Масса корнеплода до 220 г. Мякоть и сердцевина корнеплода нежная, сочная.",
314,беладона,Красавка,,"Красавка.Новый сверхранний высокопродуктивный сорт. Вегетационный период 70-85 дней после появления всходов. Корнеплоды имеют коническую форму, почти одинакового диаметра по всей длине. Длина корнеплода 17-19см. Окраска мякоти и сердцевины интенсивно-оранжевая, что создаёт видимость отсутствия сердцевины.",
315,Московська зимова,Московская зимняя,,"Московская зимняя. Высокоурожайный среднепоздний сорт. Один из лучших сортов для зимнего хранения. Корнеплоды гладкие, удлиненно-конической формы, длинной 15-18см, с  тупым концом, оранжево-красные, практически без сердцевины. Масса корнеплодов 130-150г.",
316,Нантская,Нантская,,"Нантская.Сорт среднеспелый. Период от посева до уборки 83-112 дней. Корнеплод цилиндрической формы, тупоконечный, длиной 16 см, диаметром 4,4 см, массой 92-161г, приподнят над поверхностью почвы, выдергивается легко. Мякоть и сердцевина оранжевые. Вкусовые качества хорошие.",
317,Червона без серцевини,Красная без сердцевины,,"Красная без сердцевины.Сорт среднеранний. Корнеплоды цилиндрические, тупоконечные, массой 130-210г, длиной 19-21см. Мякоть красно-оранжевая, сочная, нежная, сладкая. Сорт отличается превосходной лежкостю корнеплодов.",
318,Ням ням,Ням-ням,,"Ням-ням.Ранний отличный сорт. Пригоден для использования в свежем виде и для консервирования. Корнеплоды крупные, без сердцевины, цилиндрической формы, ярко-красной окраски, длинной 15см.  Сорт очень сладкий, с большим содержанием каротина, лежкий.",
